TEAM,G,W,L,D,OPS,RISP,ERA,WHIP,FPCT,SB%,CS%
KT,106,63,41,2,0.764,0.305,4.44,1.42,0.983,61.1,23.2
삼성,108,63,43,2,0.789,0.297,4.29,1.4,0.983,78.6,25.7
KIA,109,59,48,2,0.784,0.281,4.4,1.42,0.98,84.8,16.5
LG,110,60,49,1,0.756,0.271,4.86,1.48,0.983,71.6,21.5
두산,110,57,49,4,0.738,0.264,3.7,1.36,0.979,78.9,16.7
NC,103,47,54,2,0.76,0.272,4.8,1.48,0.98,73.9,25.4
롯데,108,49,57,2,0.722,0.283,4.48,1.47,0.981,80.6,32.1
한화,107,48,56,3,0.785,0.263,4.87,1.52,0.979,73.9,34.3
SSG,112,45,63,4,0.751,0.273,5.6,1.59,0.982,76.2,25.6
키움,113,40,71,2,0.681,0.236,5.19,1.55,0.98,81.0,31.3
